country_name,country_code,indicator_name,value,year
Canada,CAN,Domestic general government health expenditure (% of current health expenditure),72.907989,2007-01-01 00:00:00
Canada,CAN,"Fertility rate, total (births per woman)",1.5104,2001-01-01 00:00:00
Canada,CAN,"Hospital beds (per 1,000 people)",6.5,1988-01-01 00:00:00
Canada,CAN,"Human capital index (HCI), male, upper bound (scale 0-1)",0.794976,2020-01-01 00:00:00
Canada,CAN,"Incidence of tuberculosis (per 100,000 people)",5.9,2003-01-01 00:00:00
Canada,CAN,"Labor force, female (% of total labor force)",45.403076,1998-01-01 00:00:00
Canada,CAN,"Labor force, female (% of total labor force)",45.509638,1999-01-01 00:00:00
Canada,CAN,"Labor force, female (% of total labor force)",47.189916,2014-01-01 00:00:00
Canada,CAN,Lifetime risk of maternal death (%),0.01515,2004-01-01 00:00:00
Canada,CAN,Lifetime risk of maternal death (%),0.016876,2006-01-01 00:00:00
Canada,CAN,"Mortality caused by road traffic injury, male (per 100,000 male population)",12.7,2007-01-01 00:00:00
Canada,CAN,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",10.8,2011-01-01 00:00:00
Canada,CAN,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",12.9,2011-01-01 00:00:00
Canada,CAN,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.2,2006-01-01 00:00:00
Canada,CAN,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.3,2015-01-01 00:00:00
Canada,CAN,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene, male (per 100,000 male population)",0.3,2016-01-01 00:00:00
Canada,CAN,"Mortality rate, adult, female (per 1,000 female adults)",97.852,1974-01-01 00:00:00
Canada,CAN,"Mortality rate, adult, female (per 1,000 female adults)",82.064,1982-01-01 00:00:00
Canada,CAN,"Mortality rate, adult, male (per 1,000 male adults)",127.319,1990-01-01 00:00:00
Canada,CAN,"Mortality rate, infant (per 1,000 live births)",6.6,1991-01-01 00:00:00
Canada,CAN,"Mortality rate, infant, female (per 1,000 live births)",4.3,2015-01-01 00:00:00
Canada,CAN,"Mortality rate, neonatal (per 1,000 live births)",13.2,1970-01-01 00:00:00
Canada,CAN,"Mortality rate, under-5 (per 1,000)",7.2,1994-01-01 00:00:00
Canada,CAN,"Mortality rate, under-5, male (per 1,000)",8.8,1991-01-01 00:00:00
Canada,CAN,"Mortality rate, under-5, male (per 1,000)",7.2,1997-01-01 00:00:00
Canada,CAN,Out-of-pocket expenditure (% of current health expenditure),15.231223,2010-01-01 00:00:00
Canada,CAN,Out-of-pocket expenditure per capita (current US$),679.861511,2008-01-01 00:00:00
Canada,CAN,"People using at least basic drinking water services, rural (% of rural population)",98.144368,2003-01-01 00:00:00
Canada,CAN,"People using at least basic drinking water services, rural (% of rural population)",98.75512,2014-01-01 00:00:00
Canada,CAN,"People using at least basic drinking water services, rural (% of rural population)",98.816195,2015-01-01 00:00:00
Canada,CAN,People using safely managed drinking water services (% of population),98.928506,2017-01-01 00:00:00
Canada,CAN,People using safely managed sanitation services (% of population),81.246009,2011-01-01 00:00:00
Canada,CAN,"Physicians (per 1,000 people)",1.3,1965-01-01 00:00:00
