epi_week,state,loc,loc_type,disease,cases,incidence_per_100000
196816,AK,ALASKA,STATE,MUMPS,2,0.7
196836,AK,ALASKA,STATE,MUMPS,2,0.7
196928,AK,ALASKA,STATE,MUMPS,2,0.68
196929,AK,ALASKA,STATE,MUMPS,2,0.68
197031,AK,ALASKA,STATE,MUMPS,2,0.63
197047,AK,ALASKA,STATE,MUMPS,2,0.63
197050,AK,ALASKA,STATE,MUMPS,2,0.63
197116,AK,ALASKA,STATE,MUMPS,2,0.62
197120,AK,ALASKA,STATE,MUMPS,2,0.62
197121,AK,ALASKA,STATE,MUMPS,2,0.62
197125,AK,ALASKA,STATE,MUMPS,2,0.62
197127,AK,ALASKA,STATE,MUMPS,2,0.62
197138,AK,ALASKA,STATE,MUMPS,2,0.62
197140,AK,ALASKA,STATE,MUMPS,2,0.62
197208,AK,ALASKA,STATE,MUMPS,2,0.61
197221,AK,ALASKA,STATE,MUMPS,2,0.61
197231,AK,ALASKA,STATE,MUMPS,2,0.61
197336,AK,ALASKA,STATE,MUMPS,2,0.59
197409,AK,ALASKA,STATE,MUMPS,2,0.53
197412,AK,ALASKA,STATE,MUMPS,2,0.53
197414,AK,ALASKA,STATE,MUMPS,2,0.53
197420,AK,ALASKA,STATE,MUMPS,2,0.53
197426,AK,ALASKA,STATE,MUMPS,2,0.53
197436,AK,ALASKA,STATE,MUMPS,2,0.53
197440,AK,ALASKA,STATE,MUMPS,2,0.53
197451,AK,ALASKA,STATE,MUMPS,2,0.53
197502,AK,ALASKA,STATE,MUMPS,2,0.5
197503,AK,ALASKA,STATE,MUMPS,2,0.5
197512,AK,ALASKA,STATE,MUMPS,2,0.5
197517,AK,ALASKA,STATE,MUMPS,2,0.5
197533,AK,ALASKA,STATE,MUMPS,2,0.5
197540,AK,ALASKA,STATE,MUMPS,2,0.5
197543,AK,ALASKA,STATE,MUMPS,2,0.5
197610,AK,ALASKA,STATE,MUMPS,2,0.5
197618,AK,ALASKA,STATE,MUMPS,2,0.5
197711,AK,ALASKA,STATE,MUMPS,2,0.49
197738,AK,ALASKA,STATE,MUMPS,2,0.49
197740,AK,ALASKA,STATE,MUMPS,2,0.49
197805,AK,ALASKA,STATE,MUMPS,2,0.5
197942,AK,ALASKA,STATE,MUMPS,2,0.5
197951,AK,ALASKA,STATE,MUMPS,2,0.5
198010,AK,ALASKA,STATE,MUMPS,2,0.48
198111,AK,ALASKA,STATE,MUMPS,2,0.44
198144,AK,ALASKA,STATE,MUMPS,2,0.44
198208,AK,ALASKA,STATE,MUMPS,2,0.41
198209,AK,ALASKA,STATE,MUMPS,2,0.41
198331,AK,ALASKA,STATE,MUMPS,2,0.39
198403,AK,ALASKA,STATE,MUMPS,2,0.38
198442,AK,ALASKA,STATE,MUMPS,2,0.38
198533,AK,ALASKA,STATE,MUMPS,2,0.37
198616,AK,ALASKA,STATE,MUMPS,2,0.37
198640,AK,ALASKA,STATE,MUMPS,2,0.37
198648,AK,ALASKA,STATE,MUMPS,2,0.37
198710,AK,ALASKA,STATE,MUMPS,2,0.37
198720,AK,ALASKA,STATE,MUMPS,2,0.37
198814,AK,ALASKA,STATE,MUMPS,2,0.37
198840,AK,ALASKA,STATE,MUMPS,2,0.37
199052,AK,ALASKA,STATE,MUMPS,2,0.36
199126,AK,ALASKA,STATE,MUMPS,2,0.35
199242,AK,ALASKA,STATE,MUMPS,2,0.34
199314,AK,ALASKA,STATE,MUMPS,2,0.33
199334,AK,ALASKA,STATE,MUMPS,2,0.33
199511,AK,ALASKA,STATE,MUMPS,2,0.33
199515,AK,ALASKA,STATE,MUMPS,2,0.33
199803,AK,ALASKA,STATE,MUMPS,2,0.32
200015,AK,ALASKA,STATE,MUMPS,2,0.32
200025,AK,ALASKA,STATE,MUMPS,2,0.32
196834,AK,ALASKA,STATE,MUMPS,3,1.05
196842,AK,ALASKA,STATE,MUMPS,3,1.05
196905,AK,ALASKA,STATE,MUMPS,3,1.01
196910,AK,ALASKA,STATE,MUMPS,3,1.01
196930,AK,ALASKA,STATE,MUMPS,3,1.01
197001,AK,ALASKA,STATE,MUMPS,3,0.95
197025,AK,ALASKA,STATE,MUMPS,3,0.95
197105,AK,ALASKA,STATE,MUMPS,3,0.92
197113,AK,ALASKA,STATE,MUMPS,3,0.92
197124,AK,ALASKA,STATE,MUMPS,3,0.92
197133,AK,ALASKA,STATE,MUMPS,3,0.92
197144,AK,ALASKA,STATE,MUMPS,3,0.92
197209,AK,ALASKA,STATE,MUMPS,3,0.91
197327,AK,ALASKA,STATE,MUMPS,3,0.88
197331,AK,ALASKA,STATE,MUMPS,3,0.88
197339,AK,ALASKA,STATE,MUMPS,3,0.88
197351,AK,ALASKA,STATE,MUMPS,3,0.88
197352,AK,ALASKA,STATE,MUMPS,3,0.88
197413,AK,ALASKA,STATE,MUMPS,3,0.8
197506,AK,ALASKA,STATE,MUMPS,3,0.75
197551,AK,ALASKA,STATE,MUMPS,3,0.75
