year,County_of_Residence,Source_of_Payment,Births
2016-01-01,"Houston County, AL",Other,40
2016-01-01,"Mobile County, AL",Other,137
2016-01-01,"Tuscaloosa County, AL",Other,19
2016-01-01,"Navajo County, AZ",Other,56
2016-01-01,"Saline County, AR",Other,60
2016-01-01,"Sebastian County, AR",Other,22
2016-01-01,"Unidentified Counties, AR",Other,717
2016-01-01,"Butte County, CA",Other,13
2016-01-01,"El Dorado County, CA",Other,18
2016-01-01,"Humboldt County, CA",Other,291
2016-01-01,"Merced County, CA",Other,21
2016-01-01,"Napa County, CA",Other,17
2016-01-01,"San Diego County, CA",Other,5381
2016-01-01,"San Mateo County, CA",Other,18
2016-01-01,"Shasta County, CA",Other,29
2016-01-01,"Stanislaus County, CA",Other,30
2016-01-01,"Yolo County, CA",Other,11
2016-01-01,"Boulder County, CO",Other,23
2016-01-01,"Mesa County, CO",Other,18
2016-01-01,"Weld County, CO",Other,58
2016-01-01,"Litchfield County, CT",Other,16
2016-01-01,"Windham County, CT",Other,22
2016-01-01,"New Castle County, DE",Other,80
2016-01-01,"Sussex County, DE",Other,50
2016-01-01,"Polk County, FL",Other,28
2016-01-01,"St. Lucie County, FL",Other,25
2016-01-01,"Clarke County, GA",Other,49
2016-01-01,"Whitfield County, GA",Other,18
2016-01-01,"Hawaii County, HI",Other,69
2016-01-01,"Maui County, HI",Other,46
2016-01-01,"Unidentified Counties, HI",Other,29
2016-01-01,"Canyon County, ID",Other,110
2016-01-01,"Kootenai County, ID",Other,47
2016-01-01,"Cook County, IL",Other,346
2016-01-01,"St. Clair County, IL",Other,254
2016-01-01,"Unidentified Counties, IL",Other,154
2016-01-01,"Allen County, IN",Other,38
2016-01-01,"Johnson County, IN",Other,57
2016-01-01,"Madison County, IN",Other,46
2016-01-01,"Marion County, IN",Other,271
2016-01-01,"Porter County, IN",Other,10
2016-01-01,"St. Joseph County, IN",Other,23
2016-01-01,"Tippecanoe County, IN",Other,56
2016-01-01,"Black Hawk County, IA",Other,15
2016-01-01,"Douglas County, KS",Other,28
2016-01-01,"Warren County, KY",Other,30
2016-01-01,"Bossier Parish, LA",Other,288
2016-01-01,"East Baton Rouge Parish, LA",Other,51
2016-01-01,"Jefferson Parish, LA",Other,75
2016-01-01,"Lafayette Parish, LA",Other,27
2016-01-01,"Rapides Parish, LA",Other,32
2016-01-01,"Androscoggin County, ME",Other,14
2016-01-01,"Kennebec County, ME",Other,29
2016-01-01,"York County, ME",Other,88
2016-01-01,"Unidentified Counties, ME",Other,78
2016-01-01,"Cecil County, MD",Other,14
2016-01-01,"Charles County, MD",Other,107
2016-01-01,"St. Mary's County, MD",Other,201
2016-01-01,"Washington County, MD",Other,28
2016-01-01,"Baltimore city, MD",Other,93
2016-01-01,"Berkshire County, MA",Other,222
2016-01-01,"Calhoun County, MI",Other,68
2016-01-01,"Genesee County, MI",Other,10
2016-01-01,"Livingston County, MI",Other,10
2016-01-01,"Wright County, MN",Other,16
2016-01-01,"Unidentified Counties, MS",Other,75
2016-01-01,"St. Charles County, MO",Other,44
2016-01-01,"Missoula County, MT",Other,15
2016-01-01,"Hillsborough County, NH",Other,198
2016-01-01,"Rockingham County, NH",Other,97
2016-01-01,"Bergen County, NJ",Other,36
2016-01-01,"Camden County, NJ",Other,33
2016-01-01,"Gloucester County, NJ",Other,18
2016-01-01,"Hunterdon County, NJ",Other,14
2016-01-01,"Mercer County, NJ",Other,19
2016-01-01,"Middlesex County, NJ",Other,45
2016-01-01,"Sussex County, NJ",Other,16
2016-01-01,"Dona Ana County, NM",Other,487
2016-01-01,"Sandoval County, NM",Other,66
2016-01-01,"San Juan County, NM",Other,55
2016-01-01,"Santa Fe County, NM",Other,206
2016-01-01,"Rockland County, NY",Other,116
2016-01-01,"St. Lawrence County, NY",Other,86
2016-01-01,"Saratoga County, NY",Other,170
2016-01-01,"Schenectady County, NY",Other,40
2016-01-01,"Tompkins County, NY",Other,32
2016-01-01,"Westchester County, NY",Other,549
2016-01-01,"Cabarrus County, NC",Other,15
2016-01-01,"Gaston County, NC",Other,11
2016-01-01,"Onslow County, NC",Other,373
2016-01-01,"Pitt County, NC",Other,11
2016-01-01,"Wayne County, NC",Other,143
2016-01-01,"Ashtabula County, OH",Other,32
2016-01-01,"Columbiana County, OH",Other,20
2016-01-01,"Richland County, OH",Other,25
2016-01-01,"Trumbull County, OH",Other,40
2016-01-01,"Jackson County, OR",Other,35
2016-01-01,"Linn County, OR",Other,27
2016-01-01,"Marion County, OR",Other,44
2016-01-01,"Berks County, PA",Other,108
2016-01-01,"Blair County, PA",Other,11
2016-01-01,"Bucks County, PA",Other,46
2016-01-01,"Cambria County, PA",Other,15
2016-01-01,"Chester County, PA",Other,69
2016-01-01,"Erie County, PA",Other,416
2016-01-01,"Fayette County, PA",Other,13
2016-01-01,"Lebanon County, PA",Other,28
2016-01-01,"Luzerne County, PA",Other,31
2016-01-01,"Mercer County, PA",Other,37
2016-01-01,"Schuylkill County, PA",Other,44
