country_name,year,crude_birth_rate,crude_death_rate
Chad,1993-01-01 00:00:00,47.8,18.71
Chad,1994-01-01 00:00:00,47.71,18.31
Chad,1995-01-01 00:00:00,48.02,17.9
Chad,1996-01-01 00:00:00,48.35,17.51
Chad,1997-01-01 00:00:00,48.74,17.25
Chad,1998-01-01 00:00:00,49.24,17.01
Chad,1999-01-01 00:00:00,49.82,16.82
Chad,2000-01-01 00:00:00,50.48,16.64
Chad,2001-01-01 00:00:00,51.2,16.32
Chad,2002-01-01 00:00:00,51.95,16.01
Chad,2003-01-01 00:00:00,51.75,15.68
Chad,2004-01-01 00:00:00,51.56,15.3
Chad,2005-01-01 00:00:00,51.25,14.93
Chad,2006-01-01 00:00:00,50.87,14.57
Chad,2007-01-01 00:00:00,50.38,14.2
Chad,2008-01-01 00:00:00,49.76,13.84
Chad,2009-01-01 00:00:00,49.19,13.47
Chad,2010-01-01 00:00:00,48.59,13.11
Chad,2011-01-01 00:00:00,47.97,12.77
Chad,2012-01-01 00:00:00,47.35,12.43
Chad,2013-01-01 00:00:00,46.71,12.1
Chad,2014-01-01 00:00:00,45.88,11.78
Chad,2015-01-01 00:00:00,45.09,11.46
Chad,2016-01-01 00:00:00,44.33,11.14
Chad,2017-01-01 00:00:00,43.64,10.82
Chad,2018-01-01 00:00:00,42.97,10.52
Chad,2019-01-01 00:00:00,42.31,10.24
Chad,2020-01-01 00:00:00,41.67,9.97
Chad,2021-01-01 00:00:00,41.05,9.7
Chad,2022-01-01 00:00:00,40.45,9.45
Chad,2023-01-01 00:00:00,39.85,9.21
Chad,2024-01-01 00:00:00,39.24,8.97
Chad,2025-01-01 00:00:00,38.63,8.75
Chad,2026-01-01 00:00:00,38.22,8.54
Chad,2027-01-01 00:00:00,37.81,8.35
Chad,2028-01-01 00:00:00,37.41,8.16
Chad,2029-01-01 00:00:00,36.98,7.98
Chad,2030-01-01 00:00:00,36.53,7.81
Chad,2031-01-01 00:00:00,36.07,7.63
Chad,2032-01-01 00:00:00,35.6,7.47
Chad,2033-01-01 00:00:00,35.12,7.31
Chad,2034-01-01 00:00:00,34.61,7.15
Chad,2035-01-01 00:00:00,34.08,7.0
Chad,2036-01-01 00:00:00,33.58,6.86
Chad,2037-01-01 00:00:00,33.06,6.72
Chad,2038-01-01 00:00:00,32.53,6.58
Chad,2039-01-01 00:00:00,31.98,6.46
Chad,2040-01-01 00:00:00,31.42,6.34
Chad,2041-01-01 00:00:00,30.89,6.22
Chad,2042-01-01 00:00:00,30.35,6.11
Chad,2043-01-01 00:00:00,29.8,6.0
Chad,2044-01-01 00:00:00,29.25,5.9
Chad,2045-01-01 00:00:00,28.7,5.81
Chad,2046-01-01 00:00:00,28.2,5.73
Chad,2047-01-01 00:00:00,27.7,5.65
Chad,2048-01-01 00:00:00,27.2,5.58
Chad,2049-01-01 00:00:00,26.7,5.52
Chad,2050-01-01 00:00:00,26.19,5.46
Cuba,1981-01-01 00:00:00,16.3,6.24
Cuba,1982-01-01 00:00:00,16.7,6.34
Cuba,1983-01-01 00:00:00,17.06,6.41
Cuba,1984-01-01 00:00:00,16.95,6.54
Cuba,1985-01-01 00:00:00,18.31,6.94
Cuba,1986-01-01 00:00:00,16.46,6.74
Cuba,1987-01-01 00:00:00,17.55,6.91
Cuba,1988-01-01 00:00:00,18.1,7.17
Cuba,1989-01-01 00:00:00,17.63,6.42
Cuba,1990-01-01 00:00:00,17.61,6.81
Cuba,1991-01-01 00:00:00,16.26,6.7
Cuba,1992-01-01 00:00:00,14.6,7.0
Cuba,1993-01-01 00:00:00,14.03,7.24
Cuba,1994-01-01 00:00:00,13.52,7.22
Cuba,1995-01-01 00:00:00,13.48,7.14
Cuba,1996-01-01 00:00:00,13.53,7.27
Cuba,1997-01-01 00:00:00,13.8,7.02
Cuba,1998-01-01 00:00:00,13.68,7.01
Cuba,1999-01-01 00:00:00,13.57,7.16
Cuba,2000-01-01 00:00:00,12.88,6.86
Cuba,2001-01-01 00:00:00,12.41,7.1
Cuba,2002-01-01 00:00:00,12.6,6.59
Cuba,2003-01-01 00:00:00,12.17,7.07
Cuba,2004-01-01 00:00:00,11.3,7.2
Cuba,2005-01-01 00:00:00,10.71,7.53
Cuba,2006-01-01 00:00:00,9.88,7.17
Cuba,2007-01-01 00:00:00,9.99,7.27
Cuba,2008-01-01 00:00:00,10.89,7.68
Cuba,2009-01-01 00:00:00,11.55,7.72
Cuba,2010-01-01 00:00:00,11.34,8.09
Cuba,2011-01-01 00:00:00,11.81,7.73
Cuba,2012-01-01 00:00:00,11.16,7.94
Cuba,2013-01-01 00:00:00,11.19,8.2
Cuba,2014-01-01 00:00:00,11.09,8.32
Cuba,2015-01-01 00:00:00,10.98,8.44
Cuba,2016-01-01 00:00:00,10.84,8.57
Cuba,2017-01-01 00:00:00,10.73,8.71
Cuba,2018-01-01 00:00:00,10.62,8.85
Cuba,2019-01-01 00:00:00,10.52,8.99
Cuba,2020-01-01 00:00:00,10.39,9.14
Cuba,2021-01-01 00:00:00,10.23,9.29
Cuba,2022-01-01 00:00:00,10.09,9.44
Cuba,2023-01-01 00:00:00,9.97,9.59
Cuba,2024-01-01 00:00:00,9.86,9.74
Cuba,2025-01-01 00:00:00,9.74,9.89
